         k   each          n      pq     lin   heapq
        10  10000     108959    0.02    0.02      NA
        20  10000     217839    0.06    0.05      NA
        30  10000     294631    0.08    0.09      NA
        40  10000     412029    0.13    0.17      NA
        50  10000     529476    0.18    0.28      NA
        60  10000     593906    0.20    0.36      NA
        70  10000     718702    0.27    0.51      NA
        80  10000     832477    0.31    0.66      NA
        90  10000     946184    0.36    0.85      NA
       100  10000    1077846    0.42    1.07      NA
       160  10000    1651778    0.71    2.61      NA
      1000  10000   10139363    6.23      NA      NA
       100  20000    2155689    0.85    2.13      NA
       100  40000    4311388    1.65      NA      NA
       100  60000    6467076    2.47      NA      NA
       100  80000    8622765    3.41      NA      NA
       100 100000   10778457    4.20      NA      NA
