         k   each          n      pq     lin   heapq
        10  10000      98304    0.06    0.07      NA
        20  10000     199479    0.15    0.25      NA
        30  10000     268788    0.22    0.50      NA
        40  10000     383626    0.33    0.93      NA
        50  10000     479200    0.42    1.46      NA
        60  10000     642928    0.59    2.32      NA
        70  10000     701382    0.66    2.94      NA
        80  10000     770635    0.75    3.69      NA
        90  10000     879579    0.87    4.68      NA
       100  10000     940924    0.93    5.57      NA
       160  10000    1559410    1.66   14.92      NA
      1000  10000    9833720   13.37      NA      NA
       100  20000    1962350    1.94   11.64      NA
       100  40000    3854427    3.82      NA      NA
       100  60000    5595967    5.54      NA      NA
       100  80000    7371074    7.29      NA      NA
       100 100000    9541907    9.47      NA      NA
