         k   each          n      pq     lin   heapq
        10  10000     121221    0.28    0.75      NA
        20  10000     192944    0.46    2.15      NA
        30  10000     267084    0.67    4.55      NA
        40  10000     350761    0.99    7.67      NA
        50  10000     480552    1.47   13.07      NA
        60  10000     574155    1.73   18.48      NA
        70  10000     682129    2.19   26.32      NA
        80  10000     786289    2.53   34.26      NA
        90  10000     866374    2.91   51.43      NA
       100  10000     970734    3.22   57.98      NA
       160  10000    1604465    5.83  140.53      NA
      1000  10000    9695026   50.11      NA      NA
       100  20000    1941468    6.53  113.86      NA
       100  40000    3882939   13.64      NA      NA
       100  60000    5824409   22.68      NA      NA
       100  80000    7765875   28.93      NA      NA
       100 100000    9707350   36.57      NA      NA
