         k   each          n      pq
        10  10000     108114    0.14
        20  10000     188209    0.29
        30  10000     350115    0.60
        40  10000     405213    0.81
        50  10000     452665    1.04
        60  10000     608641    1.59
        70  10000     657565    1.89
        80  10000     748366    2.43
        90  10000     945520    3.41
       100  10000    1059417    3.85
       160  10000    1591834    8.57
       200  10000    1971943   12.67
       300  10000    2997356   28.98
       400  10000    4047318   52.24
       500  10000    4969394   79.01
       600  10000    6176620  117.85
       700  10000    7021694  158.71
       800  10000    7685339  193.49
       900  10000    8991671  251.34
      1000  10000   10098932  314.06
       100  10000    1047540    3.84
       100  20000    2048896    7.65
       100  30000    2978528   11.14
       100  40000    4296011   16.49
       100  50000    5075168   21.44
