         k   each          n      pq     lin   heapq
        10  10000     126589    0.07    0.06      NA
        20  10000     196057    0.08    0.10      NA
        30  10000     295619    0.09    0.22      NA
        40  10000     426722    0.11    0.39      NA
        50  10000     590743    0.22    0.46      NA
        60  10000     622530    0.23    0.54      NA
        70  10000     707966    0.25    0.72      NA
        80  10000     823135    0.26    1.38      NA
        90  10000     834812    0.22    1.60      NA
       100  10000    1125636    0.34    2.09      NA
       160  10000    1708615    0.36    7.40      NA
      1000  10000   10781357    9.48      NA      NA
       100  20000    2215840    3.69    4.24      NA
       100  40000    4161245    3.20      NA      NA
       100  60000    6790746    4.64      NA      NA
       100  80000    8204651    2.11      NA      NA
       100 100000   10531511    8.97      NA      NA
