         k   each          n      pq     lin   heapq
        10  10000     108141    0.16    0.54    0.10
        20  10000     210464    0.33    1.72    0.23
        30  10000     283467    0.46    2.92    0.33
        40  10000     410498    0.68    5.16    0.50
        50  10000     546581    0.93    8.28    0.70
        60  10000     589839    1.02   10.46    0.86
        70  10000     699888    1.39   13.92    0.93
        80  10000     810683    1.65   17.97    1.14
        90  10000     935964    1.80   23.19    1.32
       100  10000    1012149    1.95   27.40    1.44
       160  10000    1558322    3.25   64.98    2.55
      1000  10000   10266558   24.89      NA   22.10
       100  20000    2094081    4.16   56.84    2.97
       100  40000    3966435    7.57      NA    5.55
       100  60000    5774126   11.01      NA    8.34
       100  80000    6756922   13.22      NA    9.63
       100 100000   10266001   19.50      NA   14.92
