         k   each          n      pq     lin   heapq
        10  10000     129728    0.57    0.57      NA
        20  10000     166592    0.74    1.03      NA
        30  10000     357339    1.65    2.90      NA
        40  10000     369780    1.72    3.74      NA
        50  10000     526749    2.52    6.38      NA
        60  10000     561906    2.72    7.63      NA
        70  10000     656721    3.22   10.16      NA
        80  10000     789276    3.97   13.74      NA
        90  10000     826092    4.11   15.70      NA
       100  10000    1026745    5.36   21.77      NA
       160  10000    1597695    8.97   51.39      NA
      1000  10000    9911514  119.99      NA      NA
       100  20000    2059291   11.94   46.00      NA
       100  40000    3979881   27.72      NA      NA
       100  60000    6717316   57.58      NA      NA
       100  80000    7708737   71.47      NA      NA
       100 100000   10208346  108.40      NA      NA
